2018/11/01,417-5551234,3,1:30
2018/11/01,417-5552345,4,2:30
2018/11/1,417-5552345,12,2:30
2018/11/1,417-5556840,2,2:35
2018/11/1,417-5551234,34,2:35
2018/11/1,417-5559833,45,2:35
2018/11/1,417-5551234,5,3:36
2018/11/1,417-5552345,6,4:36
2018/11/2,417-5554567,78,4:30
2018/11/2,417-5557890,6,4:30
2018/11/2,417-5553628,5,4:30
2018/11/2,417-5559833,4,4:30
2018/11/3,417-5551234,89,3:30
2018/11/3,417-5556840,66,4:30
2018/11/3,417-5551234,4,6:30
2018/11/4,417-5552345,8,7:30
2018/11/5,417-5559833,2,8:30
2018/11/6,417-5552345,4,8:30
2018/11/6,417-5559833,66,8:30
2018/11/6,417-5551234,7,8:30
2018/11/6,417-5559833,23,8:30
2018/11/6,417-5551234,12,8:30
2018/11/7,417-5556840,45,8:30
2018/11/7,417-5554567,3,8:30
2018/11/7,417-5557890,3,8:30
2018/11/8,417-5559833,66,9:30
2018/11/9,417-5551234,8,9:30
2018/11/10,417-5554567,2,10:30
2018/11/10,417-5559833,5,10:30
2018/11/10,417-5552345,6,10:30
2018/11/11,417-5553628,4,10:30
2018/11/11,417-5551234,8,12:30
2018/11/12,417-5557890,9,12:30
2018/11/13,417-5559833,3,12:30
2018/11/14,417-5552345,56,13:30
2018/11/15,417-5554567,4,14:30
2018/11/12,417-5556840,12,15:30
2018/11/16,417-5557890,23,16:30
2018/11/17,417-5551234,4,17:30
2018/11/17,417-5557890,3,18:30
2018/11/17,417-5559833,23,18:30
2018/11/17,417-5552345,5,18:30
2018/11/18,417-5556840,4,1:30
2018/11/18,417-5556840,32,2:30
2018/11/18,417-5551234,6,2:30
2018/11/12,417-5554567,4,2:30
2018/11/19,417-5557890,6,3:30
2018/11/20,417-5559833,3,4:30
2018/11/22,417-5551234,7,5:30
2018/11/22,417-5553628,9,6:30
2018/11/22,417-5553628,9,7:30
2018/11/22,417-5554567,8,8:30
